time,p_sub_a_mw,q_sub_a_mvar,p_sub_b_mw,q_sub_b_mvar,p_agg_mw,q_agg_mvar,q_shunt_a_mvar
2024-01-01 00:00:00+00:00,20.4993,5.7398,9.2148,2.6723,33.1802,7.2996,3.0
2024-01-01 00:15:00+00:00,19.2576,5.3921,8.9255,2.5884,30.1177,6.6259,3.0
2024-01-01 00:30:00+00:00,19.0369,5.3303,8.5095,2.4678,29.7385,6.5425,3.0
2024-01-01 00:45:00+00:00,18.4903,5.1773,8.2312,2.387,29.0383,6.3884,3.0
2024-01-01 01:00:00+00:00,18.0756,5.0612,8.2139,2.382,27.3454,6.016,3.0
2024-01-01 01:15:00+00:00,16.3675,4.5829,7.9895,2.3169,25.97,5.7134,3.0
2024-01-01 01:30:00+00:00,15.9544,4.4672,7.0827,2.054,26.3914,5.8061,3.0
2024-01-01 01:45:00+00:00,17.2996,4.8439,6.9223,2.0075,25.5442,5.6197,3.0
2024-01-01 02:00:00+00:00,16.3146,4.5681,7.0799,2.0532,25.8873,5.6952,3.0
2024-01-01 02:15:00+00:00,16.6083,4.6503,7.0228,2.0366,27.9995,6.1599,3.0
2024-01-01 02:30:00+00:00,15.792,4.4218,7.2097,2.0908,26.0366,5.728,3.0
2024-01-01 02:45:00+00:00,16.1137,4.5118,7.484,2.1704,26.3845,5.8046,3.0
2024-01-01 03:00:00+00:00,16.6899,4.6732,7.141,2.0709,25.7775,5.671,3.0
2024-01-01 03:15:00+00:00,16.7822,4.699,7.3509,2.1317,27.1261,5.9677,3.0
2024-01-01 03:30:00+00:00,16.5385,4.6308,7.0052,2.0315,26.523,5.8351,3.0
2024-01-01 03:45:00+00:00,16.8015,4.7044,7.3793,2.14,26.7974,5.8954,3.0
2024-01-01 04:00:00+00:00,16.7724,4.6963,7.8064,2.2638,26.8855,5.9148,3.0
2024-01-01 04:15:00+00:00,18.2088,5.0985,8.1054,2.3506,28.2268,6.2099,3.0
2024-01-01 04:30:00+00:00,18.4846,5.1757,8.481,2.4595,30.4,6.688,3.0
2024-01-01 04:45:00+00:00,19.1387,5.3588,8.7344,2.533,28.7776,6.3311,3.0
2024-01-01 05:00:00+00:00,19.6413,5.4996,9.1511,2.6538,31.6726,6.968,3.0
2024-01-01 05:15:00+00:00,19.7068,5.5179,9.0433,2.6225,31.8638,7.01,3.0
2024-01-01 05:30:00+00:00,20.3274,5.6917,9.5,2.755,32.8301,7.2226,3.0
2024-01-01 05:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 06:00:00+00:00,21.0,5.88,9.3663,2.7162,33.3004,7.3261,3.0
2024-01-01 06:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 06:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 06:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 07:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 07:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 07:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 07:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 08:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 08:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 08:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 08:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 09:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 09:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 09:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 09:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 10:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 10:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 10:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 10:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 11:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 11:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 11:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 11:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 12:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 12:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 12:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 12:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 13:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 13:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 13:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 13:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 14:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 14:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 14:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 14:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 15:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 15:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 15:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 15:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 16:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 16:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 16:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 16:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 17:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 17:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 17:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 17:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 18:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 18:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 18:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 18:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 19:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 19:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 19:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 19:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 20:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 20:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 20:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 20:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 21:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 21:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 21:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 21:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
