time,t_air_c,u10_ms,v10_ms,u100_ms,v100_ms,ghi_wm2
2024-01-01 00:00:00+00:00,-9.66,2.521,4.155,3.644,6.006,0.0
2024-01-01 01:00:00+00:00,-7.65,2.894,4.526,4.183,6.542,0.0
2024-01-01 02:00:00+00:00,-11.21,2.879,4.354,4.161,6.294,0.0
2024-01-01 03:00:00+00:00,-11.99,3.288,4.317,4.753,6.24,0.0
2024-01-01 04:00:00+00:00,-13.03,3.553,4.028,5.136,5.823,0.0
2024-01-01 05:00:00+00:00,-11.85,3.352,3.43,4.845,4.957,0.0
2024-01-01 06:00:00+00:00,-10.94,4.113,4.024,5.945,5.816,0.0
2024-01-01 07:00:00+00:00,-9.97,3.998,3.816,5.778,5.516,0.0
2024-01-01 08:00:00+00:00,-11.14,4.807,3.559,6.948,5.145,0.0
2024-01-01 09:00:00+00:00,-12.51,4.3,3.079,6.216,4.451,0.0
2024-01-01 10:00:00+00:00,-12.36,3.698,2.139,5.345,3.092,11.7
2024-01-01 11:00:00+00:00,-13.35,5.166,2.093,7.467,3.025,58.1
2024-01-01 12:00:00+00:00,-14.81,4.614,0.877,6.669,1.267,53.1
2024-01-01 13:00:00+00:00,-14.28,4.687,0.103,6.775,0.149,58.1
2024-01-01 14:00:00+00:00,-15.49,5.414,-0.926,7.825,-1.338,11.7
2024-01-01 15:00:00+00:00,-17.98,4.743,-1.938,6.855,-2.801,0.0
2024-01-01 16:00:00+00:00,-20.04,3.532,-2.978,5.105,-4.304,0.0
2024-01-01 17:00:00+00:00,-18.48,2.395,-3.878,3.462,-5.606,0.0
2024-01-01 18:00:00+00:00,-17.72,1.352,-6.967,1.954,-10.07,0.0
2024-01-01 19:00:00+00:00,-16.99,-1.953,-6.825,-2.822,-9.865,0.0
2024-01-01 20:00:00+00:00,-15.29,-5.215,-5.259,-7.538,-7.601,0.0
2024-01-01 21:00:00+00:00,-10.82,-6.817,-2.602,-9.854,-3.761,0.0
2024-01-01 22:00:00+00:00,-10.27,-7.612,0.582,-11.003,0.841,0.0
2024-01-01 23:00:00+00:00,-6.96,-6.384,3.448,-9.227,4.984,0.0
2024-01-02 00:00:00+00:00,-5.11,-4.777,7.085,-6.904,10.241,0.0
2024-01-02 01:00:00+00:00,-3.77,-0.578,6.843,-0.836,9.891,0.0
